model,raw_mse_mean,std_mse_mean,raw_mse_delta_x,raw_mse_delta_x_dot,raw_mse_delta_theta,raw_mse_delta_theta_dot,std_mse_delta_x,std_mse_delta_x_dot,std_mse_delta_theta,std_mse_delta_theta_dot,split,action_limit,effective_force_at_limit,m_centres
sincos_affine,1.3136418541880077,0.2295639728467357,0.001118792877821538,0.4761790408874317,0.0121821881547874,4.7650873948319905,0.0033993147435967324,0.37611240819520075,0.01529144450950519,0.5234527239386401,test,10.0,9.242343145200195,160
sincos_sparse_kernel,0.0866787761653668,0.0200066956229418,7.223744172553875e-05,0.05977754623416998,0.000942110866721772,0.2859232101188499,0.0002194845941238671,0.04721559526902532,0.0011825655503946875,0.03140913707822333,test,10.0,9.242343145200195,160
sincos_affine,2.5920814608247253,0.23243683377961283,0.0013039678064240738,0.5308828890044206,0.026625376632056476,9.809513609856,0.0038634706493485935,0.2363541101318361,0.03274837243189412,0.6567813819053725,train,20.0,15.231883119115297,160
sincos_sparse_kernel,0.09062365632316988,0.012203216620460342,7.063602898729583e-05,0.06163720801919275,0.0008799368739176159,0.29990684437058185,0.0002092844803640826,0.0274414710930076,0.0010822945666397116,0.020079816341829974,train,20.0,15.231883119115297,160
sincos_affine,2.250383195162106,0.2099551314208497,0.0013421808791376933,0.5446903033056559,0.023402190865805337,8.432098105597824,0.003976690534167202,0.24250130226777009,0.028783955727144556,0.5645585771543169,validation,20.0,15.231883119115297,160
sincos_sparse_kernel,0.11242478277882088,0.016060664870094152,0.00010412036681105579,0.0861262213679234,0.0010786114825947326,0.36239017789795436,0.000308493798077021,0.038344212691819354,0.0013266580611972154,0.024263294929283023,validation,20.0,15.231883119115297,160
sincos_affine,2.7300377281678845,0.24346121802063503,0.0013705585948649455,0.544029488196346,0.028332397181762073,10.346418468698564,0.004060769658872329,0.24220710109768595,0.03484795380057039,0.6927290475254114,test,20.0,15.231883119115297,160
sincos_sparse_kernel,0.10500301458685302,0.014156602403365946,8.44338576409191e-05,0.07111352309217188,0.0011706630059208792,0.3476434383916784,0.00025016547893275316,0.031660416669880787,0.0014398785279146104,0.02327594893673563,test,20.0,15.231883119115297,160
sincos_affine,4.576618403769254,0.25903039818041185,0.001621115031248731,0.6691020452846848,0.04856282776871026,17.587187626992375,0.004809124727033962,0.17891751968612848,0.059347457226584875,0.7930474910819,train,40.0,19.280551601516336,160
sincos_sparse_kernel,0.18964045308585664,0.013998723769875588,0.00011300143204297934,0.08731589445082996,0.0017404599287801086,0.6693924565317735,0.0003352248116591294,0.023348222254606026,0.0021269739824420772,0.030184474030795123,train,40.0,19.280551601516336,160
sincos_affine,4.467372786240503,0.25619534151983725,0.0015992724800262712,0.7057356992141357,0.04880431555317248,17.11335185771468,0.0047443276267908575,0.1887133386412306,0.059642573607109006,0.7716811262042185,validation,40.0,19.280551601516336,160
sincos_sparse_kernel,0.2402495199399983,0.01792047878001772,0.000165742099074192,0.11356008699028718,0.0022250411814840553,0.8450472094891478,0.0004916828303999076,0.03036590493606763,0.0027191690108004166,0.038105158342802925,validation,40.0,19.280551601516336,160
sincos_affine,4.608659409042634,0.26250704017180543,0.0016945638076007838,0.6969003371991984,0.05003524976660163,17.686007485397134,0.005027014463244084,0.1863507676875442,0.06114686853672368,0.7975035099997098,test,40.0,19.280551601516336,160
sincos_sparse_kernel,0.22789959205560884,0.01665025684973729,0.00013989421764699475,0.10109017150069702,0.0022202199079649166,0.8081480825961264,0.0004150037031838551,0.02703145637800975,0.002713277049044859,0.036441290268710694,test,40.0,19.280551601516336,160
