policy,noise_type,noise_level,seed,mean_loss,final_abs_theta,final_abs_x,max_abs_action,success_final_theta_lt_0p25
linear_near,observation,0.0,28,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.0,29,0.005533962598219544,5.9487594405993605e-08,7.85323895996075e-08,6.184642989740418,True
linear_near,observation,0.005,0,0.02501401562679906,0.03228070561149021,0.057006749164639665,5.818928787568386,True
linear_near,observation,0.005,1,0.024160149628707512,0.029917630812453577,0.054104351895261686,6.172191229377915,True
linear_near,observation,0.005,2,0.028759964115786858,0.013054062977293057,0.004634860720043423,6.842562732931022,True
linear_near,observation,0.005,3,0.02265604035039322,0.011483150274233633,0.0011996753250123832,6.57659346294336,True
linear_near,observation,0.005,4,0.024606579133963594,0.0680752862239209,0.08423752709152654,6.052757897078252,True
linear_near,observation,0.005,5,0.026284753828521086,0.03048551326528459,0.0005247998091274307,6.636150066509874,True
linear_near,observation,0.005,6,0.02689242049333096,0.014132903341083747,0.05615697046789052,7.260855577318375,True
linear_near,observation,0.005,7,0.031247166020059523,0.026415421027297104,0.06474985594169103,5.203538144866372,True
linear_near,observation,0.005,8,0.02773045560501682,0.028633870317899657,0.02970975007948153,6.135140734735215,True
linear_near,observation,0.005,9,0.021136818017371786,0.027910688648711268,0.030600044893310988,6.806307359634115,True
linear_near,observation,0.005,10,0.02350026483157914,0.004482445063216378,0.06680537703838083,5.9843950000406,True
linear_near,observation,0.005,11,0.030254509205566462,0.000754490527845153,0.0548555301588692,6.815208445315552,True
linear_near,observation,0.005,12,0.025669078107269903,0.03306403144224079,0.025917745824829527,5.855474777138778,True
linear_near,observation,0.005,13,0.021785244183947828,0.032898400065429545,0.06016190273852766,6.838631056659525,True
linear_near,observation,0.005,14,0.027581205242435243,0.03581304258668627,0.039854985212727144,6.598531880049374,True
linear_near,observation,0.005,15,0.03303691880094326,0.023653171403280826,0.0155972006229352,5.806657191969634,True
linear_near,observation,0.005,16,0.024206076065681478,0.00538546751429525,0.017813470538647767,5.81595576689323,True
linear_near,observation,0.005,17,0.0232834664063303,0.015310233646649074,0.021023341893793665,5.942690494380653,True
linear_near,observation,0.005,18,0.027147569437870805,0.010716624717923118,0.008065564572075254,5.779929718571414,True
linear_near,observation,0.005,19,0.025805323941014615,0.03170621251320682,0.038068466877439026,6.285594083288881,True
linear_near,observation,0.005,20,0.025116654233630985,0.0007629878476769214,0.016747803772161556,5.515415673698635,True
linear_near,observation,0.005,21,0.025711574171592765,0.01054065025956552,0.019507719461085676,6.5996256743668305,True
linear_near,observation,0.005,22,0.02651271695886806,0.0028073393308867267,0.0055151493117736134,7.444472365953948,True
linear_near,observation,0.005,23,0.02356207597052606,0.014404584540935517,0.021750602765133954,6.001747692703337,True
linear_near,observation,0.005,24,0.029673497742115272,0.005747355094136264,0.024023476108959458,6.970061571477744,True
linear_near,observation,0.005,25,0.03169920228084557,0.049647933094084884,0.042489667616800834,6.309336484743629,True
linear_near,observation,0.005,26,0.024978367814350772,0.03325261353723752,0.018865338809872467,5.9172175830292195,True
linear_near,observation,0.005,27,0.02766849290661673,0.013734177844717088,0.010378870004685067,6.280876126504631,True
linear_near,observation,0.005,28,0.027591023621621715,0.06639364809108983,0.04075655338081787,6.3050197332164455,True
linear_near,observation,0.005,29,0.027174155565277455,0.006498786639224985,0.009031602278528212,6.680998830348654,True
linear_near,observation,0.01,0,0.07440679849200943,0.07452983127504442,0.12030865816477221,7.402078057045709,True
linear_near,observation,0.01,1,0.070555731544834,0.05693245627872967,0.10265943864920538,10.077905225477313,True
linear_near,observation,0.01,2,0.08197674124626898,0.032011331750370076,0.0032869063889423406,10.689196777538301,True
linear_near,observation,0.01,3,0.06459546531090882,0.01770090167355587,0.002937898889517435,8.301908398237396,True
linear_near,observation,0.01,4,0.06817814426030538,0.12749511299778238,0.16939673249747642,9.259887343686904,True
linear_near,observation,0.01,5,0.07432776408953454,0.06974132410762968,0.011819149409037725,8.319491225173412,True
linear_near,observation,0.01,6,0.07932311502530218,0.027608157351895368,0.1293944713737661,9.379219550708278,True
linear_near,observation,0.01,7,0.0900907569316132,0.045813086336606634,0.12971404371592465,8.29060422000733,True
linear_near,observation,0.01,8,0.08319795563106526,0.05895030592721895,0.06025242874726433,7.671192301368505,True
linear_near,observation,0.01,9,0.060504868938322846,0.04823178631538472,0.0470916609995632,7.5153654278626725,True
linear_near,observation,0.01,10,0.06792351759834092,0.026116528332327693,0.11512989012868376,10.04098500525005,True
linear_near,observation,0.01,11,0.08736745429205044,0.01040957708853174,0.1054777986746246,8.562133844082897,True
linear_near,observation,0.01,12,0.07469063346204796,0.06635894619173177,0.055268735384222556,10.630845604123087,True
linear_near,observation,0.01,13,0.06074167466428599,0.06605118351680517,0.12150454116637102,9.94106635362931,True
linear_near,observation,0.01,14,0.07904217041356515,0.07285751210187907,0.08167164966878222,8.657517885960587,True
linear_near,observation,0.01,15,0.0897400781727682,0.0530355091654906,0.03811299356406982,9.501624944173251,True
linear_near,observation,0.01,16,0.06827335244549622,0.0114590365890197,0.03360591780645219,10.425964436087279,True
linear_near,observation,0.01,17,0.06747292965707716,0.03599273823114446,0.04656635509344312,7.264882006983307,True
linear_near,observation,0.01,18,0.07803098239217365,0.019987787870919593,0.004192759821091048,9.228735887167725,True
linear_near,observation,0.01,19,0.07549926603184313,0.06340503675163989,0.07926900001204176,8.148409451980632,True
linear_near,observation,0.01,20,0.07284511729006354,0.002795951410194064,0.03413726653831556,8.976197675000563,True
linear_near,observation,0.01,21,0.07113055126828088,0.029453932405559602,0.04984228540909368,8.540059096168077,True
linear_near,observation,0.01,22,0.07738703303024869,0.015124816491267179,0.020499701318733736,9.161482140317137,True
linear_near,observation,0.01,23,0.06507780088195453,0.017901383750476008,0.022316700078592565,7.999869830707444,True
linear_near,observation,0.01,24,0.08721835739183974,0.007831099780970074,0.053569684676845856,10.325444675762787,True
linear_near,observation,0.01,25,0.08789541896006597,0.06344575558080079,0.08207720771463103,10.628872411686984,True
linear_near,observation,0.01,26,0.07202600650268401,0.07578629578366192,0.04928377106743138,8.308737237828886,True
linear_near,observation,0.01,27,0.08493444621450823,0.032008961271868586,0.013980932609946447,7.766276031878334,True
linear_near,observation,0.01,28,0.07941621361473249,0.13673982343077284,0.0908724654307308,11.19346516266483,True
linear_near,observation,0.01,29,0.0775805803660887,0.013022511147374072,0.013876274544916736,9.732426751880471,True
linear_near,observation,0.03,0,0.9543440433059105,2.17548215975806,468.2440415571443,20.0,False
linear_near,observation,0.03,1,0.4872921571453607,0.36210825291794624,0.021737320152380224,16.922202808643974,False
linear_near,observation,0.03,2,0.44198871241545995,1.3339447098484651,1.3518155240128868,18.130906917776496,False
linear_near,observation,0.03,3,0.33616138337815793,0.05242964603721578,0.04253052764158132,17.570025898035205,True
linear_near,observation,0.03,4,0.9720412238973847,3.1381282482297985,386.0979763688856,20.0,False
linear_near,observation,0.03,5,0.36494689267482217,0.5241435835107655,0.27225411191407656,16.499868058465154,False
linear_near,observation,0.03,6,0.5805382533383698,0.310854866596566,28.279095112809532,19.999999999556415,False
linear_near,observation,0.03,7,0.9030998007326029,0.05304741670058055,382.70873170676873,20.0,True
linear_near,observation,0.03,8,0.7614599680164779,0.36987428027911085,127.04658381624937,20.0,False
linear_near,observation,0.03,9,0.46353259395736574,2.641338519187644,1.864474527593641,19.99999330394772,False
linear_near,observation,0.03,10,0.33736927252846854,2.2204358280329863,0.3153691835323779,19.99374050111757,False
linear_near,observation,0.03,11,0.8067781953840895,0.11764151624823871,259.85170157614334,20.0,True
linear_near,observation,0.03,12,0.9175970644060419,0.39345129628019615,416.8585799196178,20.0,False
